Designator,Mid X,Mid Y,Layer,Rotation
R111,159.00,152.53,Bottom,90.0
R112,161.42,150.75,Bottom,90.0
R113,247.90,110.36,Bottom,180.0
R114,214.00,123.19,Bottom,90.0
R115,209.55,149.48,Bottom,90.0
R116,166.37,128.14,Bottom,90.0
R117,164.34,154.56,Bottom,180.0
R118,163.83,150.75,Bottom,90.0
R119,177.55,136.02,Bottom,270.0
R120,156.84,26.54,Bottom,180.0
R121,177.42,145.16,Bottom,90.0
R124,120.65,106.68,Bottom,180.0
R125,22.23,136.53,Bottom,90.0
R126,22.23,130.94,Bottom,270.0
R127,226.06,119.51,Bottom,270.0
R128,236.22,208.28,Bottom,0.0
R129,207.01,95.25,Bottom,270.0
R130,207.01,111.76,Bottom,90.0
R131,211.46,123.19,Bottom,90.0
R132,212.09,111.76,Bottom,270.0
R133,199.64,103.38,Bottom,90.0
R134,225.43,105.79,Bottom,90.0
R135,303.53,93.98,Bottom,270.0
R138,288.29,74.93,Bottom,270.0
R139,292.99,71.88,Bottom,180.0
R140,292.99,69.47,Bottom,180.0
R141,271.15,79.38,Bottom,90.0
R142,290.45,82.93,Bottom,0.0
R143,341.25,98.43,Bottom,270.0
R144,252.86,61.72,Bottom,270.0
R145,250.70,89.15,Bottom,0.0
R146,211.07,95.25,Bottom,270.0
R147,212.09,105.41,Bottom,270.0
R148,199.64,108.46,Bottom,90.0
R149,209.55,111.76,Bottom,270.0
R150,201.04,96.77,Bottom,270.0
R151,175.51,84.71,Bottom,270.0
R152,294.00,45.47,Bottom,0.0
R153,300.48,52.07,Bottom,90.0
R154,290.45,80.52,Bottom,0.0
R155,264.16,62.23,Bottom,270.0
R156,245.36,62.99,Bottom,90.0
R157,242.57,62.99,Bottom,270.0
R158,249.43,70.48,Bottom,270.0
R159,251.71,70.48,Bottom,270.0
R160,228.22,70.48,Bottom,180.0
R161,233.30,70.48,Bottom,180.0
R162,185.42,48.13,Bottom,90.0
R163,168.91,43.18,Bottom,270.0
R164,313.44,41.91,Bottom,270.0
R165,294.00,40.64,Bottom,0.0
R166,257.05,24.38,Bottom,180.0
R167,168.28,31.75,Bottom,270.0
R168,205.74,67.31,Bottom,90.0
R169,213.74,61.72,Bottom,270.0
R171,281.94,267.97,Bottom,90.0
R172,181.86,257.43,Bottom,180.0
R173,297.18,267.97,Bottom,90.0
R174,299.72,267.97,Bottom,90.0
R175,254.64,267.97,Bottom,90.0
R176,272.42,267.97,Bottom,90.0
R177,269.88,267.97,Bottom,90.0
R178,165.86,144.15,Bottom,180.0
R179,258.70,275.97,Bottom,0.0
R180,285.88,276.10,Bottom,0.0
R181,323.09,248.54,Bottom,180.0
R182,282.19,240.16,Bottom,180.0
R183,262.64,236.73,Bottom,180.0
